stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,pilot|distractors=archetype,cardseq,20,matched-C10,0.4471287910053002,,,0.1,1438,
baseline,pilot|distractors=all,cardseq,30,matched-C10,0.9284741315961694,,,0.1,1033,
baseline,pilot|distractors=class,cardseq,30,matched-C10,0.7562070976350822,,,0.1,1033,
baseline,pilot|distractors=archetype,cardseq,30,matched-C10,0.5380243580090595,,,0.1,1005,
baseline,pilot|distractors=all,cardseq,50,matched-C10,0.9617661868790184,,,0.1,615,
baseline,pilot|distractors=class,cardseq,50,matched-C10,0.8266829373332896,,,0.1,615,
baseline,pilot|distractors=archetype,cardseq,50,matched-C10,0.5792777766597936,,,0.1,480,
baseline44,all-users,baseline_both,1,full-pool,0.11363636363636363,0.25,0.2053428395857337,0.022727272727272714,44,0.0
baseline44,all-users,baseline_both,1,matched-C10,0.227269490888621,0.5737343976738548,,0.1,44,0.0
baseline44,all-users,baseline_both,3,full-pool,0.06818181818181818,0.3181818181818182,0.19956976162346854,0.022727272727272714,44,0.0
